sample_ID	samp_country	category	fermented_food_type
MS009-1	Laos	fermented fish	Fermented_fish  
A002	Thailand	fermented meat	Fermented_pork_sausage_(Sai-krok_Isaan_Moo)
3ee22	Germany	fermented vegetables	Sauerkraut
9b8b5	Germany	fermented roots	Kimchi
MS009-2	Laos	fermented fish	Fermented_fish  
MS013-1	Laos	fermented meat	Fermented_cabbage_with_cow_skin
M002	Thailand	fermented fish	Pickled_mussel_(Hoy_Dong)_from_Asian_green_mussel
HM010-01	Laos	fermented meat	Fermented_raw_pork
A001	Thailand	fermented meat	Fermented_pork_(Nham_Moo)
HM010-03	Laos	fermented meat	Fermented_cabbage_with_buffalo_skin
B051_Aj_Po_Laf	Benin	fermented roots	Lafun
e7c76	Switzerland	fermented vegetables	Kimchi
MS005-1	Laos	fermented vegetables	Fermented_bamboo
B056_Sc_Na_Af	Benin	fermented legumes	Afitin
a36ba	Slovenia	fermented legumes	Cheese
M012	Thailand	fermented fish	Fermented_fish_(Nham_Pla)_from_featherback
MS003-2	Laos	fermented fish	Fermented_fish_sauce
MS011-1	Laos	fermented legumes	Fermented_soybean
M008	Thailand	fermented fish	Fermented_fish_(Pla_Som)_from_silver_barb
P003	Thailand	fermented legumes	Fermented_soybean_curd_(Tao-huu-yee)
B037_La_Ac_La	Benin	fermented fish	Lanhouin
M010	Thailand	fermented fish	Fermented_fish_(Pla_Som)_from_grass_carp
M009	Thailand	fermented fish	Pickled_rice-field_crab_(Pu_Na_Dong)
36fe4	Slovenia	fermented legumes	Kefir
MS001-3	Laos	fermented fish	Fermented_fish_sauce
MS003-3	Laos	fermented fish	Crab_simmered 
B044_Hb_Ac_Ab	Benin	fermented cereal	Ablo
B039_Aa_Gp_La	Benin	fermented fish	Lanhouin
B038_Az_Gp_La	Benin	fermented fish	Lanhouin
P009	Thailand	fermented roots	Pickled_spring_shallot_(Ton-hom_Dong)
M004	Thailand	fermented fish	Shrimp_paste_(Ka-pi)_from_yellow_shrimp
M006	Thailand	fermented fish	
P001	Thailand	fermented cereal	